Instance, n0, n, Rho,R,A, RotateEnable, Opt, Gap, LB_Best, UB, totalTime
s1,10,10,0,3.44,37.17635083,F,0,0.166666667,5,6,1801.415
s1,10,10,1,4.21,55.68190235,F,0,0.25,3,4,1800.59
s1,10,10,2,4.87,74.50883881,F,0,0.333333333,2,3,1800.572
s2,20,20,0,5.08,81.07319666,F,0,0.555555556,4,9,1812.973
s2,20,20,1,6.22,121.5431932,F,0,0.25,3,4,1804.047
s2,20,20,2,7.19,162.408088,F,0,0.333333333,2,3,1847.212
s3,30,30,0,4.95,76.97687399,F,0,0.892857143,3,28,1924.568
s3,30,30,1,6.06,115.370592,F,0,0.925925926,2,27,1807.673
s3,30,30,2,6.99,153.4985312,F,0,0.5,2,4,1863.127
r1,10,9,0,2.95,27.33971007,F,1,0,4,4,1170.859
r1,10,9,0,2.95,27.33971007,R,0,0.25,3,4,1803.794
r1,10,10,1,3.62,41.16868677,F,0,0.25,3,4,1802.391
r1,10,10,1,3.62,41.16868677,R,0,0.5,2,4,1804.974
r1,10,10,2,4.18,54.89116348,F,0,0.333333333,2,3,1802.529
r1,10,10,2,4.18,54.89116348,R,0,0.333333333,2,3,1805.326
r2,20,20,0,4.33,58.9014065,F,0,0.833333333,3,18,1868.821
r2,20,20,0,4.33,58.9014065,R,0,0.842105263,3,19,1825.95
r2,20,20,1,5.3,88.24733764,F,0,0.4,3,5,1910.229
r2,20,20,1,5.3,88.24733764,R,0,0.833333333,3,18,1811.888
r2,20,20,2,6.12,117.6664679,F,0,0.333333333,2,3,1857.801
r2,20,20,2,6.12,117.6664679,R,0,0.333333333,2,3,1808.171
r3,30,30,0,5.08,81.07319666,F,0,0.9,3,30,1813.98
r3,30,30,0,5.08,81.07319666,R,0,0,0,0,1834.563
r3,30,30,1,6.22,121.5431932,F,0,0.4,3,5,1813.732
r3,30,30,1,6.22,121.5431932,R,0,0,0,0,1865.017
r3,30,30,2,7.18,161.9566411,F,0,0.5,2,4,1821.552
r3,30,30,2,7.18,161.9566411,R,0,0.6,2,5,1803.018
