Instance, Rotate, Best, Avg , Worst, Time(s)
r1-0-F,F,18.444100000000002,18.444100000000002,18.444100000000002,0.0518
r1-0-R,R,19.6702,19.6702,19.6702,0.054000000000000006
r1-1-F,F,28.939000000000004,28.939000000000004,28.939000000000004,0.0216
r1-1-R,R,29.5041,29.5041,29.5041,0.0364
r1-2-F,F,38.787000000000006,38.787000000000006,38.787000000000006,0.029199999999999997
r1-2-R,R,41.1612,41.1612,41.1612,0.0696
r100-0-F,F,284.2810999999999,282.38806,280.9667,0.8118000000000001
r100-0-R,R,286.76610000000005,285.64351999999997,284.3935000000001,2.9138
r100-1-F,F,431.48299999999995,429.68487999999996,428.1836,1.3852
r100-1-R,R,436.4149999999999,434.9696599999999,433.7776999999999,3.5067999999999997
r100-2-F,F,577.4653999999998,576.16704,575.3870999999999,1.5682
r100-2-R,R,585.3060000000002,583.3753200000001,580.3967999999998,4.5006
r150-0-F,F,393.0765000000001,391.57528000000013,390.97720000000015,2.3994
r150-0-R,R,396.46740000000005,395.45712000000015,394.4291000000001,7.8792
r150-1-F,F,596.6191000000002,593.7704600000001,591.9866000000001,4.4744
r150-1-R,R,600.4352000000001,598.49112,597.5294000000001,11.329
r150-2-F,F,797.8619000000001,796.9778200000001,795.4597000000003,4.7348
r150-2-R,R,804.7953000000001,802.95126,800.7317,13.0324
r2-0-F,F,44.41120000000001,44.09062000000001,43.876900000000006,0.052000000000000005
r2-0-R,R,45.252900000000004,44.94554,44.73400000000001,0.1342
r2-1-F,F,68.59740000000001,68.51118,68.1663,0.1086
r2-1-R,R,71.88340000000001,71.08418,70.8608,0.2752
r2-2-F,F,96.16990000000001,94.40110000000001,93.19960000000002,0.1742
r2-2-R,R,97.70270000000001,96.91380000000001,96.27790000000002,0.3912
r200-0-F,F,511.16510000000017,510.07992,508.62900000000013,8.163
r200-0-R,R,513.2016000000001,512.6666600000001,511.79570000000007,20.0022
r200-1-F,F,771.9557000000001,770.7835000000002,769.7953000000001,8.727599999999999
r200-1-R,R,776.9884000000002,776.0975000000002,773.4106999999999,19.557
r200-2-F,F,1031.5359000000003,1030.1272000000001,1028.1022,10.693999999999999
r200-2-R,R,1039.4739000000004,1037.9695800000004,1036.587,20.003800000000002
r3-0-F,F,66.1238,65.54416,65.0035,0.131
r3-0-R,R,67.355,66.8405,66.2687,0.44800000000000006
r3-1-F,F,101.91659999999999,101.02998,100.28070000000001,0.2508
r3-1-R,R,102.52180000000001,102.19628,101.9002,0.738
r3-2-F,F,137.9091,136.89929999999998,135.8203,0.3762
r3-2-R,R,140.2309,139.34304,138.5473,1.0388
s1-0-F,F,23.9878,23.9878,23.9878,0.008799999999999999
s1-1-F,F,36.7126,36.7126,36.7126,0.014599999999999998
s1-2-F,F,52.7555,52.7555,52.7555,0.022600000000000002
s100-0-F,F,298.7924,297.85094000000004,297.22220000000004,1.0124
s100-1-F,F,454.2427,453.3872799999999,452.3866,1.5710000000000002
s100-2-F,F,608.1730999999997,607.1865399999999,606.4439000000001,2.0608
s150-0-F,F,473.1918999999999,472.24236,470.6563999999999,4.5128
s150-1-F,F,718.5257000000001,716.11644,712.7961,5.024
s150-2-F,F,961.5025000000004,959.6139000000003,957.8993000000003,7.0774
s2-0-F,F,63.752300000000005,63.75229999999999,63.75229999999999,0.1012
s2-1-F,F,95.39940000000001,95.04918,94.77060000000002,0.13540000000000002
s2-2-F,F,134.4905,133.22876,130.0388,0.19
s200-0-F,F,600.0956999999999,598.8611199999999,598.1089999999997,6.5252
s200-1-F,F,905.9867999999999,903.1961599999998,900.06,7.420999999999999
s200-2-F,F,1215.0643000000007,1214.23778,1212.6762000000003,15.0234
s3-0-F,F,64.1774,63.96806,63.853699999999996,0.189
s3-1-F,F,98.81029999999998,98.54414,97.96390000000004,0.3298
s3-2-F,F,132.0611,131.86648000000002,131.4854,0.518
